symbol,description,base_currency,quote_currency,min_lot,max_lot,lot_step,spread,digits,point,tick_value,contract_size,margin_initial,margin_maintenance
NOKJPYm,Norwegian Krona vs Japanese Yen,NOK,JPY,0.01,200.0,0.01,0,3,0.001,0.6788221078784095,100000.0,100000.0,0.0
NOKSEKm,Norwegian Krona vs Swedish Krona,NOK,SEK,0.01,200.0,0.01,0,5,1e-05,0.1035340306005181,100000.0,100000.0,0.0
NTESm,"NetEase, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
NVDAm,NVIDIA Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
NZDCADm,New Zealand Dollar vs Canadian Dollar,NZD,CAD,0.01,200.0,0.01,0,5,1e-05,0.7268921001366558,100000.0,0.0,0.0
NZDCHFm,New Zealand Dollar vs Swiss Franc,NZD,CHF,0.01,200.0,0.01,0,5,1e-05,1.238098775520311,100000.0,0.0,0.0
NZDDKKm,New Zealand Dollar vs Danish Krona,NZD,DKK,0.01,200.0,0.01,0,5,1e-05,0.15584820384945067,100000.0,100000.0,0.0
NZDJPYm,New Zealand Dollar vs Japanese Yen,NZD,JPY,0.01,200.0,0.01,0,3,0.001,0.6788221078784095,100000.0,0.0,0.0
NZDMXNm,New Zealand Dollar vs Mexican Peso,NZD,MXN,0.01,200.0,0.01,0,5,1e-05,0.053565048591533826,100000.0,100000.0,0.0
NZDNOKm,New Zealand Dollar vs Norwegian Krona,NZD,NOK,0.01,200.0,0.01,0,5,1e-05,0.09720241722971167,100000.0,100000.0,0.0
NZDPLNm,New Zealand Dollar vs Zloty,NZD,PLN,0.01,200.0,0.01,0,5,1e-05,0.27223848090927655,100000.0,100000.0,0.0
NZDSEKm,New Zealand Dollar vs Swedish Krona,NZD,SEK,0.01,200.0,0.01,0,5,1e-05,0.1035340306005181,100000.0,100000.0,0.0
NZDSGDm,New Zealand Dollar vs Singapore Dollar,NZD,SGD,0.01,200.0,0.01,0,5,1e-05,0.7781132310373805,100000.0,100000.0,0.0
NZDUSDm,New Zealand Dollar vs US Dollar,NZD,USD,0.01,200.0,0.01,17,5,1e-05,1.0,100000.0,0.0,0.0
NZDZARm,New Zealand Dollar vs South African Rand,NZD,ZAR,0.01,200.0,0.01,0,5,1e-05,0.05635396602306681,100000.0,100000.0,0.0
ORCLm,Oracle Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
PDDm,Pinduoduo Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
PEPm,"PepsiCo, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
PFEm,"Pfizer, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
PGm,Procter & Gamble Company (The),USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
PLNDKKm,Zloty vs Danish Krona,PLN,DKK,0.01,200.0,0.01,0,5,1e-05,0.15584820384945067,100000.0,100000.0,0.0
PLNJPYm,Zloty vs Japanese Yen,PLN,JPY,0.01,200.0,0.01,0,4,0.0001,0.06788221078784094,100000.0,100000.0,0.0
PLNSEKm,Zloty vs Swedish Krona,PLN,SEK,0.01,200.0,0.01,0,5,1e-05,0.1035340306005181,100000.0,100000.0,0.0
PMm,Philip Morris International Inc,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
PYPLm,"PayPal Holdings, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
REGNm,"Regeneron Pharmaceuticals, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
