symbol,description,base_currency,quote_currency,min_lot,max_lot,lot_step,spread,digits,point,tick_value,contract_size,margin_initial,margin_maintenance
XAGUSDm,Silver vs US Dollar,XAG,USD,0.01,200.0,0.01,37,3,0.001,5.0,5000.0,0.0,0.0
XALUSDm,Aluminum vs US Dollar,XAL,USD,0.01,200.0,0.01,0,2,0.01,0.01,1.0,1.0,0.0
XAUAUDm,Gold vs Australian Dollar,XAU,AUD,0.01,200.0,0.01,0,3,0.001,0.065121,100.0,0.0,0.0
XAUEURm,Gold vs Euro,XAU,EUR,0.01,200.0,0.01,0,3,0.001,0.11637800000000001,100.0,0.0,0.0
XAUGBPm,Gold vs Great Britain Pound,XAU,GBP,0.01,200.0,0.01,0,3,0.001,0.134217,100.0,0.0,0.0
XAUUSDm,Gold vs US Dollar,XAU,USD,0.01,200.0,0.01,160,3,0.001,0.1,100.0,0.0,0.0
XCUUSDm,Copper vs US Dollar,XCU,USD,0.01,200.0,0.01,0,2,0.01,0.01,1.0,1.0,0.0
XNGUSDm,Natural Gas vs US Dollar,USD,USD,0.01,20.0,0.01,0,4,0.0001,0.9999999999999999,10000.0,0.0,0.0
XNIUSDm,Nickel vs US Dollar,XNI,USD,0.01,200.0,0.01,0,2,0.01,0.01,1.0,1.0,0.0
XOMm,Exxon Mobil Corporation,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
XPBUSDm,Lead vs US Dollar,XPB,USD,0.01,200.0,0.01,0,2,0.01,0.01,1.0,1.0,0.0
XPDUSDm,Palladium,XPD,USD,0.01,200.0,0.01,0,2,0.01,1.0,100.0,100.0,0.0
XPEVm,XPeng Inc. ,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
XPTUSDm,Platinum,XPT,USD,0.01,200.0,0.01,0,2,0.01,1.0,100.0,100.0,0.0
XZNUSDm,Zinc vs US Dollar,XZN,USD,0.01,200.0,0.01,0,2,0.01,0.01,1.0,1.0,0.0
YUMCm,"Yum China Holdings, Inc",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
ZARJPYm,South African Rand vs Japanese Yen,ZAR,JPY,0.01,200.0,0.01,0,3,0.001,0.6788221078784095,100000.0,100000.0,0.0
ZTOm,ZTO Express (Cayman) Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
